match_id,series_id,date,venue,round,home,away,innings1,innings1_runs,innings1_wickets,innings1_overs,innings2,target,innings1_balls_bowled
304744,124121,13/06/2003,Chester-le-Street,North Group,Durham,Nottinghamshire,Nottinghamshire,157.0,7.0,20.0,Durham,False,120.0
129610,124121,13/06/2003,Southampton,South Group,Hampshire,Sussex,Hampshire,153.0,10.0,20.0,Sussex,True,117.99999999999999
129597,124121,13/06/2003,Taunton,Midlands/Wales/West Group,Somerset,Warwickshire,Warwickshire,188.0,7.0,20.0,Somerset,True,120.0
304745,124121,13/06/2003,The Oval,South Group,Surrey,Middlesex,Middlesex,155.0,10.0,20.0,Surrey,False,120.0
304746,124121,13/06/2003,Worcester,Midlands/Wales/West Group,Worcestershire,Northamptonshire,Northamptonshire,150.0,9.0,20.0,Worcestershire,False,120.0
304747,124121,14/06/2003,Bristol,Midlands/Wales/West Group,Gloucestershire,Worcestershire,Worcestershire,122.0,10.0,20.0,Gloucestershire,False,119.0
304748,124121,14/06/2003,East Molesey,South Group,Surrey,Essex,Surrey,182.0,9.0,20.0,Essex,True,120.0
304749,124121,14/06/2003,Leeds,North Group,Yorkshire,Derbyshire,Yorkshire,186.0,5.0,20.0,Derbyshire,True,120.0
304750,124121,16/06/2003,Cardiff,Midlands/Wales/West Group,Glamorgan,Northamptonshire,Northamptonshire,159.0,5.0,20.0,Glamorgan,True,120.0
129665,124121,16/06/2003,Beckenham,South Group,Kent,Hampshire,Hampshire,145.0,6.0,20.0,Kent,False,120.0
304751,124121,16/06/2003,Leicester,North Group,Leicestershire,Yorkshire,Leicestershire,174.0,6.0,20.0,Yorkshire,True,120.0
304752,124121,16/06/2003,Nottingham,North Group,Nottinghamshire,Lancashire,Lancashire,120.0,10.0,20.0,Nottinghamshire,False,116.0
304753,124121,16/06/2003,East Molesey,South Group,Surrey,Sussex,Sussex,143.0,8.0,20.0,Surrey,False,120.0
304754,124121,18/06/2003,Chester-le-Street,North Group,Durham,Leicestershire,Leicestershire,168.0,9.0,20.0,Durham,True,120.0
129737,124121,18/06/2003,Cardiff,Midlands/Wales/West Group,Glamorgan,Somerset,Glamorgan,193.0,7.0,20.0,Somerset,False,120.0
129740,124121,18/06/2003,Southampton,South Group,Hampshire,Essex,Essex,155.0,6.0,20.0,Hampshire,True,120.0
304758,124121,18/06/2003,Worcester,Midlands/Wales/West Group,Worcestershire,Warwickshire,Warwickshire,175.0,10.0,20.0,Worcestershire,True,117.99999999999999
304757,124121,18/06/2003,Hove,South Group,Sussex,Middlesex,Sussex,177.0,9.0,20.0,Middlesex,True,120.0
129890,124121,19/06/2003,Derby,North Group,Derbyshire,Nottinghamshire,Nottinghamshire,94.0,10.0,20.0,Derbyshire,False,115.00000000000001
304759,124121,19/06/2003,Bristol,Midlands/Wales/West Group,Gloucestershire,Northamptonshire,Northamptonshire,128.0,5.0,20.0,Gloucestershire,False,120.0
304760,124121,19/06/2003,Manchester,North Group,Lancashire,Yorkshire,Yorkshire,102.0,8.0,20.0,Lancashire,False,120.0
304761,124121,19/06/2003,Richmond,South Group,Middlesex,Kent,Kent,161.0,8.0,20.0,Middlesex,False,120.0
304763,124121,20/06/2003,Leicester,North Group,Leicestershire,Lancashire,Leicestershire,178.0,7.0,20.0,Lancashire,True,120.0
304764,124121,20/06/2003,Northampton,Midlands/Wales/West Group,Northamptonshire,Somerset,Northamptonshire,166.0,6.0,20.0,Somerset,True,120.0
304765,124121,20/06/2003,Birmingham,Midlands/Wales/West Group,Warwickshire,Glamorgan,Warwickshire,181.0,9.0,20.0,Glamorgan,True,120.0
304766,124121,20/06/2003,Leeds,North Group,Yorkshire,Durham,Yorkshire,198.0,4.0,20.0,Durham,True,120.0
304762,124121,20/06/2003,Chelmsford,South Group,Essex,Kent,Essex,116.0,10.0,20.0,Kent,False,111.99999999999999
304767,124121,21/06/2003,Manchester,North Group,Lancashire,Derbyshire,Lancashire,91.0,10.0,20.0,Derbyshire,False,105.99999999999999
304768,124121,21/06/2003,Nottingham,North Group,Nottinghamshire,Leicestershire,Nottinghamshire,158.0,5.0,20.0,Leicestershire,False,120.0
304769,124121,21/06/2003,Taunton,Midlands/Wales/West Group,Somerset,Gloucestershire,Somerset,119.0,9.0,20.0,Gloucestershire,False,120.0
304770,124121,21/06/2003,Hove,South Group,Sussex,Essex,Sussex,180.0,6.0,20.0,Essex,True,120.0
304771,124121,23/06/2003,Derby,North Group,Derbyshire,Durham,Derbyshire,157.0,10.0,20.0,Durham,True,119.0
304772,124121,23/06/2003,Cardiff,Midlands/Wales/West Group,Glamorgan,Worcestershire,Glamorgan,170.0,4.0,20.0,Worcestershire,True,120.0
304773,124121,23/06/2003,Canterbury,South Group,Kent,Surrey,Surrey,186.0,8.0,20.0,Kent,True,120.0
129883,124121,23/06/2003,Uxbridge,South Group,Middlesex,Hampshire,Hampshire,134.0,7.0,20.0,Middlesex,False,120.0
304774,124121,23/06/2003,Birmingham,Midlands/Wales/West Group,Warwickshire,Gloucestershire,Warwickshire,134.0,7.0,20.0,Gloucestershire,False,120.0
304776,124121,24/06/2003,Bristol,Midlands/Wales/West Group,Gloucestershire,Glamorgan,Gloucestershire,221.0,7.0,20.0,Glamorgan,True,120.0
129926,124121,24/06/2003,Southampton,South Group,Hampshire,Surrey,Surrey,140.0,9.0,20.0,Hampshire,True,120.0
304777,124121,24/06/2003,Manchester,North Group,Lancashire,Durham,Lancashire,144.0,8.0,20.0,Durham,True,120.0
304778,124121,24/06/2003,Leicester,North Group,Leicestershire,Derbyshire,Leicestershire,171.0,8.0,20.0,Derbyshire,True,120.0
304779,124121,24/06/2003,Northampton,Midlands/Wales/West Group,Northamptonshire,Warwickshire,Warwickshire,202.0,5.0,20.0,Northamptonshire,True,120.0
304781,124121,24/06/2003,Worcester,Midlands/Wales/West Group,Worcestershire,Somerset,Worcestershire,161.0,5.0,20.0,Somerset,True,120.0
304782,124121,24/06/2003,Leeds,North Group,Yorkshire,Nottinghamshire,Yorkshire,196.0,5.0,20.0,Nottinghamshire,True,120.0
304775,124121,24/06/2003,Chelmsford,South Group,Essex,Middlesex,Essex,175.0,5.0,20.0,Middlesex,True,120.0
304780,124121,24/06/2003,Hove,South Group,Sussex,Kent,Kent,114.0,10.0,20.0,Sussex,False,113.0
304783,124121,19/07/2003,Nottingham,1st Semi-Final,Leicestershire,Warwickshire,Leicestershire,162.0,7.0,20.0,Warwickshire,False,120.0
304784,124121,19/07/2003,Nottingham,2nd Semi-Final,Gloucestershire,Surrey,Surrey,147.0,9.0,20.0,Gloucestershire,True,120.0
304785,124121,19/07/2003,Nottingham,Final,Surrey,Warwickshire,Warwickshire,115.0,10.0,20.0,Surrey,False,109.00000000000001
304943,134226,07/04/2004,Cape Town,,Western Province Boland,Dolphins,Dolphins,121.0,6.0,20.0,Western Province Boland,False,120.0
304944,134226,08/04/2004,Centurion,,Titans,Lions,Lions,145.0,6.0,20.0,Titans,True,120.0
304945,134226,11/04/2004,Durban,,Dolphins,Eagles,Eagles,185.0,5.0,20.0,Dolphins,True,120.0
304946,134226,13/04/2004,Bloemfontein,,Eagles,Titans,Titans,184.0,5.0,20.0,Eagles,True,120.0
304947,134226,13/04/2004,Port Elizabeth,,Eastern Cape,Western Province Boland,Eastern Cape,121.0,9.0,20.0,Western Province Boland,False,120.0
304948,134226,16/04/2004,Johannesburg,,Lions,Dolphins,Lions,162.0,6.0,20.0,Dolphins,False,120.0
304950,134226,18/04/2004,East London,,Eastern Cape,Eagles,Eagles,114.0,7.0,20.0,Eastern Cape,False,120.0
304951,134226,18/04/2004,Centurion,,Titans,Western Province Boland,Titans,176.0,2.0,20.0,Western Province Boland,True,120.0
304952,134226,21/04/2004,Durban,,Dolphins,Eastern Cape,Eastern Cape,152.0,7.0,20.0,Dolphins,False,120.0
304953,134226,21/04/2004,Cape Town,,Western Province Boland,Lions,Western Province Boland,147.0,3.0,20.0,Lions,False,120.0
304954,134226,23/04/2004,Durban,,Dolphins,Titans,Titans,161.0,7.0,20.0,Dolphins,True,120.0
304955,134226,23/04/2004,Potchefstroom,,Lions,Eastern Cape,Lions,151.0,5.0,20.0,Eastern Cape,False,120.0
